+1000ns 7.54946e+14
+2.00001e+08ns 9.22337e+13
+4.00001e+08ns 41.76
+6.00001e+08ns 52.74
+8.00001e+08ns 53.1
+1e+09ns 50.22
+1.2e+09ns 50.34
+1.4e+09ns 50.16
+1.6e+09ns 50.16
+1.8e+09ns 50.16
+2e+09ns 50.1
+2.2e+09ns 50.1
+2.4e+09ns 50.1
+2.6e+09ns 50.04
+2.8e+09ns 50.04
+3e+09ns 50.16
+3.2e+09ns 49.98
+3.4e+09ns 50.04
+3.6e+09ns 49.98
+3.8e+09ns 49.92
+4e+09ns 45.3
+4.2e+09ns 50.22
+4.4e+09ns 50.22
+4.6e+09ns 50.16
+4.8e+09ns 50.1
+5e+09ns 50.16
+5.2e+09ns 50.1
+5.4e+09ns 50.04
+5.6e+09ns 50.22
+5.8e+09ns 50.04
+6e+09ns 49.98
+6.2e+09ns 50.04
+6.4e+09ns 49.98
+6.6e+09ns 49.98
+6.8e+09ns 49.98
+7e+09ns 49.98
+7.2e+09ns 49.92
+7.4e+09ns 50.1
+7.6e+09ns 49.92
+7.8e+09ns 49.92
+8e+09ns 49.92
+8.2e+09ns 49.92
+8.4e+09ns 49.92
+8.6e+09ns 49.92
+8.8e+09ns 49.92
+9e+09ns 49.92
+9.2e+09ns 50.04
+9.4e+09ns 49.92
+9.6e+09ns 49.92
+9.8e+09ns 49.92
+1e+10ns 49.98
+1.02e+10ns 49.92
+1.04e+10ns 49.98
+1.06e+10ns 49.98
+1.08e+10ns 49.98
+1.1e+10ns 50.1
+1.12e+10ns 49.98
+1.14e+10ns 50.04
+1.16e+10ns 50.04
+1.18e+10ns 50.04
+1.2e+10ns 50.1
+1.22e+10ns 50.1
+1.24e+10ns 50.1
+1.26e+10ns 50.16
+1.28e+10ns 50.28
+1.3e+10ns 50.16
+1.32e+10ns 50.22
+1.34e+10ns 45.3
+1.36e+10ns 50.46
+1.38e+10ns 50.34
+1.4e+10ns 50.34
+1.42e+10ns 50.28
+1.44e+10ns 50.34
+1.46e+10ns 50.34
+1.48e+10ns 50.22
+1.5e+10ns 50.22
+1.52e+10ns 50.16
+1.54e+10ns 50.16
+1.56e+10ns 50.1
+1.58e+10ns 50.16
+1.6e+10ns 50.1
+1.62e+10ns 50.1
+1.64e+10ns 50.16
+1.66e+10ns 50.04
+1.68e+10ns 49.98
+1.7e+10ns 50.04
+1.72e+10ns 49.98
+1.74e+10ns 49.98
+1.76e+10ns 49.98
+1.78e+10ns 45.36
+1.8e+10ns 50.16
+1.82e+10ns 50.22
+1.84e+10ns 50.16
+1.86e+10ns 50.1
+1.88e+10ns 50.1
+1.9e+10ns 50.22
+1.92e+10ns 50.1
+1.94e+10ns 50.04
+1.96e+10ns 50.04
+1.98e+10ns 50.04
+2e+10ns 49.98
+2.02e+10ns 49.98
+2.04e+10ns 49.98
+2.06e+10ns 49.98
+2.08e+10ns 50.1
+2.1e+10ns 49.92
+2.12e+10ns 49.98
+2.14e+10ns 49.92
+2.16e+10ns 49.92
+2.18e+10ns 49.92
+2.2e+10ns 49.92
+2.22e+10ns 49.92
+2.24e+10ns 49.92
+2.26e+10ns 50.04
+2.28e+10ns 49.92
+2.3e+10ns 49.92
+2.32e+10ns 49.92
+2.34e+10ns 49.92
+2.36e+10ns 49.92
+2.38e+10ns 49.98
+2.4e+10ns 49.92
+2.42e+10ns 49.98
+2.44e+10ns 50.1
+2.46e+10ns 49.98
+2.48e+10ns 49.98
+2.5e+10ns 50.04
+2.52e+10ns 50.04
+2.54e+10ns 50.04
+2.56e+10ns 50.04
+2.58e+10ns 50.1
+2.6e+10ns 50.1
+2.62e+10ns 50.22
+2.64e+10ns 50.16
+2.66e+10ns 50.16
+2.68e+10ns 50.22
+2.7e+10ns 50.16
+2.72e+10ns 45.48
+2.74e+10ns 50.34
+2.76e+10ns 50.34
+2.78e+10ns 50.34
+2.8e+10ns 50.4
+2.82e+10ns 50.28
+2.84e+10ns 50.28
+2.86e+10ns 50.22
+2.88e+10ns 50.16
+2.9e+10ns 50.16
+2.92e+10ns 50.16
+2.94e+10ns 50.1
+2.96e+10ns 50.1
